City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,dryden,49.7833,-92.7503,23.16,40,0,1.54,CA,1686586705
279,naracoorte,-36.9579,140.7383,10.35,75,99,5.77,AU,1686586705
280,brookings,44.3114,-96.7984,22.25,42,0,2.06,US,1686586705
281,zabol,32.25,67.25,26.32,13,0,4.13,AF,1686586706
282,barra de santo antonio,-9.4047,-35.5072,29.6,75,5,4.31,BR,1686586706
283,eyl,7.9803,49.8164,29.62,60,99,10.21,SO,1686586706
284,mata-utu,-13.2816,-176.1745,27.98,77,41,7.32,WF,1686586706
285,torghay,49.6339,63.4981,26.32,22,61,3.96,KZ,1686586653
286,iskateley,67.6803,53.1512,15.18,54,100,5.75,RU,1686586635
287,port lincoln,-34.7333,135.8667,13.53,68,46,9.25,AU,1686586643
288,peniche,39.3558,-9.3811,24.49,83,87,6.32,PT,1686586706
289,limon,10.0,-83.0333,32.25,74,20,2.06,CR,1686586706
290,mitchell,43.7094,-98.0298,22.28,44,0,2.06,US,1686586706
291,santiago de cao,-7.9589,-79.2392,23.07,73,38,5.66,PE,1686586706
292,cockburn town,21.4612,-71.1419,28.0,85,77,9.72,TC,1686586637
293,arkhangel'sk,64.5401,40.5433,18.78,42,94,2.99,RU,1686586665
294,salinas de hidalgo,22.6333,-101.7167,26.74,28,5,2.22,MX,1686586707
295,kalmunai,7.4167,81.8167,28.64,77,99,2.23,LK,1686586707
296,pratt,37.6439,-98.7376,20.98,60,0,3.6,US,1686586562
297,yeppoon,-23.1333,150.7333,13.88,90,1,2.64,AU,1686586708
298,carnarvon,-24.8667,113.6333,16.88,43,0,8.11,AU,1686586646
299,enewetak,11.3474,162.3373,27.83,80,99,7.94,MH,1686586641
300,cutral-co,-38.9469,-69.2089,9.39,42,0,1.79,AR,1686586640
301,muscat,23.6139,58.5922,38.01,56,100,1.86,OM,1686586149
302,kolokani,13.5728,-8.0339,36.25,31,94,2.83,ML,1686586708
303,zavitinsk,50.1167,129.45,15.32,93,4,2.01,RU,1686586708
304,saldanha,-33.0117,17.9442,14.03,76,77,4.43,ZA,1686586640
305,aldinga beach,-35.2793,138.4604,14.26,80,69,9.33,AU,1686586708
306,urangan,-25.3,152.9,18.07,84,0,2.66,AU,1686586708
307,sheboygan,43.7333,-87.9334,17.21,47,20,4.12,US,1686586709
308,colon,9.3592,-79.9014,27.17,76,77,1.34,PA,1686586709
309,oxelosund,58.6706,17.1015,19.21,37,0,5.66,SE,1686586709
310,palmas,-10.2128,-48.3603,31.93,45,20,3.09,BR,1686586709
311,ko pha ngan,9.7578,100.0291,26.85,73,100,9.02,TH,1686586709
312,hirara,24.8,125.2833,26.15,100,100,3.6,JP,1686586709
313,ugoofaaru,5.6667,73.0,28.73,79,99,8.23,MV,1686586709
314,alo,7.4178,6.7371,28.37,77,75,1.3,NG,1686586709
315,bengkulu,-3.8004,102.2655,25.12,91,19,3.07,ID,1686586709
316,ovalle,-30.5983,-71.2003,14.62,53,0,1.41,CL,1686586709
317,porto novo,6.4965,2.6036,29.9,62,41,4.6,BJ,1686586709
318,lycksele,64.5954,18.6735,24.93,23,20,3.6,SE,1686586710
319,lata,40.1629,-8.3327,23.93,72,99,2.49,PT,1686586710
320,hovd,48.0056,91.6419,20.01,26,69,4.07,MN,1686586710
321,inhambane,-23.865,35.3833,22.99,83,20,6.17,MZ,1686586710
322,nema,57.5067,50.5011,12.6,64,5,0.57,RU,1686586710
323,greenville,35.6127,-77.3663,28.4,71,40,4.63,US,1686586504
324,awjilah,29.1081,21.2869,37.4,17,0,11.4,LY,1686586710
325,colonia menno,-22.3667,-59.8167,12.38,43,100,7.13,PY,1686586710
326,kujang-up,39.8672,126.0303,15.54,98,100,0.92,KP,1686586710
327,rundu,-17.9333,19.7667,23.78,17,9,2.13,NA,1686586710
328,pariaman,-0.619,100.12,27.03,87,46,1.75,ID,1686586710
329,parchim,53.4263,11.8488,26.51,41,23,5.14,DE,1686586710
330,naberera,-4.2,36.9333,19.89,60,75,5.9,TZ,1686586710
331,turkmenbasy,40.0222,52.9552,26.43,50,0,4.12,TM,1686586711
332,regina,50.4501,-104.6178,25.06,44,100,3.6,CA,1686586569
333,carros,43.7894,7.184,23.71,72,75,2.06,FR,1686586711
334,ludwigslust,53.3167,11.5,26.57,33,7,4.32,DE,1686586711
335,turpan,42.9333,89.1667,37.63,17,88,6.07,CN,1686586711
336,la'ie,21.6477,-157.9253,25.98,82,30,0.89,US,1686586636
337,soure,-0.7167,-48.5233,28.73,73,1,3.9,BR,1686586639
338,roswell,34.0232,-84.3616,25.0,83,100,4.12,US,1686586460
339,gadzhiyevo,69.2551,33.3362,17.97,37,100,5.5,RU,1686586644
340,laojunmiao,39.8333,97.7333,20.58,22,43,5.88,CN,1686586711
341,zhezqazghan,47.7833,67.7667,25.37,24,0,4.39,KZ,1686586711
342,mejit,10.2753,170.8646,27.82,80,90,8.73,MH,1686586647
343,margate,51.3813,1.3862,22.15,72,29,2.24,GB,1686586680
344,bryan,30.6744,-96.37,29.91,70,75,5.14,US,1686586328
345,hede,33.7681,120.2517,19.24,79,74,2.65,CN,1686586711
346,el estor,15.5333,-89.35,33.46,48,88,0.87,GT,1686586711
347,kawalu,-7.3817,108.2082,22.66,98,80,0.88,ID,1686586712
348,touros,-5.1989,-35.4608,28.72,67,27,6.19,BR,1686586480
349,lyubim,58.3625,40.6843,17.02,62,21,1.18,RU,1686586712
350,ghormach,35.7306,63.7826,30.17,15,0,2.77,AF,1686586712
351,okhotsk,59.3833,143.3,6.7,95,94,3.79,RU,1686586647
352,barah,13.7,30.3667,36.29,26,9,1.33,SD,1686586712
353,daru,-9.0763,143.2092,25.63,86,100,5.91,PG,1686586647
354,yen vinh,18.6667,105.6667,28.31,74,100,1.61,VN,1686586712
355,klaksvik,62.2266,-6.589,12.51,70,1,1.39,FO,1686586665
356,floro,61.5996,5.0328,17.35,87,75,5.14,NO,1686586654
357,qarauyl,48.9451,79.255,16.94,31,71,3.99,KZ,1686586712
358,kindu,-2.95,25.95,27.34,59,52,1.34,CD,1686586575
359,nanning,22.8167,108.3167,29.25,74,40,2.29,CN,1686586712
360,goleniow,53.5639,14.8285,24.95,29,0,5.66,PL,1686586712
